[16:42] Page: login | IP: ::1 | Input: {"username":"sadwq","password":"asdwq","remember":false}
[16:43] Page: comment_store | IP: ::1 | Input: {"comment":"asdwqd"}
[16:43] Page: comment_store | IP: ::1 | Input: {"comment":"sadwqdsa\n\n\nsadwqdwqdwqdsad"}
[16:44] Page: login | IP: ::1 | Input: {"username":"lasttest","password":"lasttest","remember":true}
[16:44] Page: GET_category | IP: ::1 | Input: {"category":"Sport"}
[16:44] Page: comment_store | IP: ::1 | Input: {"comment":"asdwqdsadqw"}
[16:45] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":false}
[16:51] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":false}
[16:54] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"asdwqasd","remember":false}
[16:54] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":true}
[16:55] Page: login | IP: ::1 | Input: {"username":"lasttest","password":"lasttest","remember":false}
[16:55] Page: login | IP: ::1 | Input: {"username":"lasttest","password":"lasttest","remember":false}
[16:56] Page: login | IP: ::1 | Input: {"username":"acomir95","password":"1234567","remember":true}
[16:56] Page: GET_category | IP: ::1 | Input: {"category":"Sport"}
[16:57] Page: comment_store | IP: ::1 | Input: {"comment":"test123\n\nasdwqd"}
